"key","english","amharic","translator_draft","manual_review","notes"
"daily_reading_schedule","Daily Reading Schedule","የዕለት ንባብ ሰሌዳ","","",""
"default_translation","Default translation","ነባሪ ትርጉም","","",""
"download_audio","Download audio","ድምጽ አውርድ","","",""
"download_failed","Download failed: {error}","ማውረድ አልተሳካም፦ {error}","","",""
"download_scope","Download Scope","የማውረድ ወሰን","","",""
"download_translations","Download translations","ትርጉሞችን አውርድ","","",""
"downloading_audio","Downloading audio (Surah {surah})...","ድምጽ በማውረድ ላይ (ሱራ {surah})...","","",""
"downloading_translation","Downloading translation {key} (Surah {surah})...","ትርጉም {key} በማውረድ ላይ (ሱራ {surah})...","","",""
"downloads_complete","Downloads complete.","ማውረድ ተጠናቀቀ።","","",""
"english","English","እንግሊዝኛ","","",""
"enter_page_error","Enter a number from 1 to 604","1 እስከ 604 ያለ ቁጥር ያስገቡ","","",""
"fasting","FASTING","ጾም","","",""
"go_button","Go","ሂድ","","",""
"go_to_bookmark","Go to Bookmark","ወደ ምልክት ሂድ","","",""
"go_to_page","Go to Page","ወደ ገጽ ሂድ","","",""
"go_to_page_title","Go to Page","ወደ ገጽ ሂድ","","",""
"goal_set_message","Goal set to {value} Round{s}!","ግብ ተዘጋጅቷል፦ {value} ዙር{plural}!","","",""
"hero_dhikr","Dhikr","ዝክር","","",""
"hero_dua","Dua","ዱዓ","","",""
"hero_month_message","Keep your Quran rhythm in {month}","በ{month} የቁርአን ልምድዎን ይጠብቁ","","",""
"hero_ramadan_message","Stay steady on Day {day} of Ramadan","በረመዳን {day} ቀን በጽናት ቆዩ","","",""
"hero_read","Read","ንባብ","","",""
"hide_translation","Hide Translation","ትርጉም ደብቅ","","",""
"highlight_short","Highlight","አድምቅ","","",""
"highlight_verse","Highlight Verse","አድምቅ","","",""
"hijri_date","{month} {day}, {year} AH","{month} {day}, {year} አህ","","",""
"jump_to_any_page","Jump to any page (1-604)","ወደ ማንኛውም ገጽ ይሂዱ (1-604)","","",""
"juz_label","Juz {juz}","ጁዝ {juz}","","",""
"keep_playing_subtitle","Keeps playing next verses automatically","ቀጣይ አያቶችን በራሱ ይቀጥላል","","",""
"language","Language","ቋንቋ","","",""
"last_location_updated","Last updated location: {time}","የመጨረሻ የአካባቢ ዝመና: {time}","","",""
"last_ten_nights","LAST 10 NIGHTS","የመጨረሻ 10 ሌሊቶች","","",""
"local_time","Local Time","አካባቢ ሰዓት","","",""
"location_denied_forever_message","Location permission is permanently denied. Open settings to allow it for accurate prayer times.","የአካባቢ ፍቃድ ለዘላቂ ተከልክሏል። ትክክለኛ የሶላት ጊዜ ለማግኘት ቅንብሮች ይክፈቱ።","","",""
"location_denied_message","Location permission is required for accurate prayer times.","ትክክለኛ የሶላት ጊዜ ለማስረጃ የአካባቢ ፍቃድ ያስፈልጋል።","","",""
"location_required_message","Location is required for accurate prayer times.","ትክክለኛ የሶላት ጊዜ ለማስረጃ አካባቢ ያስፈልጋል።","","",""
"location_required_title","Accurate Prayer Times Need Location","ትክክለኛ የሶላት ጊዜ ለመሆን አካባቢ ያስፈልጋል","","",""
"location_service_off_message","Enable location services to calculate prayer times accurately.","ትክክለኛ የሶላት ጊዜ ለማስረጃ የአካባቢ አገልግሎት አብራሩ።","","",""
"location_settings","Location Settings","የአካባቢ ቅንብሮች","","",""
"location_unable_message","Unable to get accurate location right now. Please retry.","አሁን ትክክለኛ አካባቢ ማግኘት አልተቻለም። እባክዎ ደግመው ይሞክሩ።","","",""
"monthly_progress","Monthly Progress","ወርሃዊ እድገት","","",""
"monthly_quran_target","Monthly Quran Target","ወርሃዊ ቁርአን ግብ","","",""
"nav_dhikr","Dhikr","ዝክር","","",""
"nav_home","Home","ቤት","","",""
"nav_planner","Planner","እቅድ","","",""
"nav_quran","Quran","ቁርአን","","",""
"niyyah_text","“I intend to fast this day of Ramadan for the sake of Allah.”","“ይህን የረመዳን ቀን ለአላህ ስለማድረግ ለመጾም እቆማለሁ።”","","",""
"no","No","አይ","","",""
"no_bookmark_saved","No bookmark saved","ምንም ምልክት የለም","","",""
"offline_downloads","Offline Downloads","የመስመር ውጭ ማውረድ","","",""
"offline_not_available_web","Offline downloads are not available on Web. Use mobile or desktop builds for offline storage.","በድር ላይ የመስመር ውጭ ማውረድ አይቻልም። ለመስመር ውጭ ማከማቻ የሞባይል ወይም ዴስክቶፕ ግንባታ ይጠቀሙ።","","",""
"offline_not_supported_web","Offline downloads are not supported on web.","በድር ላይ የመስመር ውጭ ማውረድ አይቻልም።","","",""
"ok","OK","እሺ","","",""
"page_label","Page {page}","ገጽ {page}","","",""
"page_not_found","Page not found","ገጽ አልተገኘም","","",""
"page_number_hint","1 - 604","1 - 604","","",""
"page_number_label","Page number","የገጽ ቁጥር","","",""
"pages","Pages","ገጾች","","",""
"play_audio","Play Audio","ድምጽ አጫውት","","",""
"play_continuously","Play Continuously from Here","ከዚህ ጀምሮ ቀጥታ አጫውት","","",""
"play_continuously_short","Play Continuously","ቀጥታ አጫውት","","",""
"playing_verse","Playing verse audio... (long-press and choose Stop Audio)","የአያት ድምጽ በመጫወት ላይ... (ረዥም ጫን እና አቁም ምረጥ)","","",""
"prayer_asr","Asr","አስር","","",""
"prayer_dhuhr","Dhuhr","ዙህር","","",""
"prayer_fajr","Fajr","ፈጅር","","",""
"prayer_isha","Isha","ኢሻ","","",""
"prayer_maghrib","Maghrib","መግሪብ","","",""
"quran_completion_goal","Quran Completion Goal","የቁርአን ማጠናቀቂያ ግብ","","",""
"ramadan_day","Ramadan Day {day}","የረመዳን ቀን {day}","","",""
"ramadan_planner","Ramadan Planner","የረመዳን እቅድ","","",""
"read_daily_progress","Read {read} / {target} pages in Quran to fill this bar.","ይህን መደርደሪያ ለመሙላት {read} / {target} ገጾች አንብብ።","","",""
"read_monthly_progress","Read {read} / {target} pages this month.","በዚህ ወር {read} / {target} ገጾች አንብብ።","","",""
"reciter","Reciter","ቃርኢ","","",""
"remove_bookmark","Remove Bookmark","ምልክት አንሳ","","",""
"remove_highlight","Remove Highlight","አድምቅን አንሳ","","",""
"reset_counter","Reset Counter?","ቆጣሪውን ይጀምሩ?","","",""
"retry","Retry","ደግመው ይሞክሩ","","",""
"round_label","{value} Round{s} (Khatam)","{value} ዙር{plural} (ከተም)","","",""
"save_bookmark","Save Bookmark","ምልክት አስቀምጥ","","",""
"scope_all","All","ሁሉም","","",""
"scope_juz","Juz","ጁዝ","","",""
"scope_surah","Surah","ሱራ","","",""
"select_at_least_one","Select at least one surah or juz.","ቢያንስ አንድ ሱራ ወይም ጁዝ ይምረጡ።","","",""
"select_juz","Select Juz","ጁዝ ይምረጡ","","",""
"select_surahs","Select Surahs","ሱራዎችን ይምረጡ","","",""
"sets_completed","{count} Sets of 33 Completed","{count} የ33 ስብስቦች ተጠናቀቁ","","",""
"show_translation","Show Translation","ትርጉም አሳይ","","",""
"start_download","Start Download","ማውረድ ጀምር","","",""
"starting_downloads","Starting downloads...","ማውረድ ተጀምሯል...","","",""
"stop_audio","Stop Audio","ድምጽ አቁም","","",""
"stop_continuous","Stop Continuous Play","ቀጥታ አቁም","","",""
"stop_continuous_short","Stop Continuous","ቀጥታ አቁም","","",""
"sunnah_tip_evening","Sunnah: Break your fast with dates and water.","ሱና፡ ጾምዎን በዘንባባ እና በውሃ ያፍቱ።","","",""
"sunnah_tip_morning","Sunnah: Use Miswak to keep your breath fresh while fasting.","ሱና፡ በጾም ወቅት የአፍዎን ጠረን ለመጠበቅ ሚስዋክ ይጠቀሙ።","","",""
"surah_index","Surah Index","የሱራ ማውጫ","","",""
"tap_circle","Tap anywhere on the circle","በክብ ላይ ይንኩ","","",""
"tasbih","Tasbih","ጠስብህ","","",""
"tip_tap_verse","Tip: Tap verse to play • Long-press ayah marker for options","ጠቅ በማድረግ ድምጽ አጫውት • ለአማራጮች የአያት ምልክትን ረዥም ጫን","","",""
"todays_inspiration","","ዛሬ መነሳሳት","","",""
"todays_progress","","የዛሬ እድገት","","",""
"toggle_translation","Toggle Translation","ትርጉም አሳይ/ደብቅ","","",""
"total_pages","Total Pages","ጠቅላላ ገጾች","","",""
"translation_language","Translation Language","የትርጉም ቋንቋ","","",""
"translation_short","Translation","ትርጉም","","",""
"translations","Translations","ትርጉሞች","","",""
"unhighlight_short","Unhighlight","አድምቅን አንሳ","","",""
"until_prayer","until {prayer}","እስከ {prayer}","","",""
"use_downloaded_audio","Use downloaded audio when available","የወረደ ድምጽ ሲኖር ተጠቀም","","",""
"use_downloaded_translations","Use downloaded translations","የወረዱ ትርጉሞችን ተጠቀም","","",""
"vibration_off","Vibration: Off","ንዝረት: ጠፍቷል","","",""
"vibration_on","Vibration: On","ንዝረት: በርቷል","","",""
"yes","Yes","አዎ","","",""
